timestamp,open,close,high,low,volume
2017-08-17 09:00:00,4261.48,4285.08,4485.39,4200.74,795.1503769999999
2017-08-18 09:00:00,4285.08,4108.37,4371.52,3938.77,1199.8882640000002
2017-08-19 09:00:00,4108.37,4139.98,4184.69,3850.0,381.309763
2017-08-20 09:00:00,4120.98,4086.29,4211.08,4032.62,467.08302199999997
2017-08-21 09:00:00,4069.13,4016.0,4119.62,3911.79,691.74306
2017-08-22 09:00:00,4016.0,4040.0,4104.82,3400.0,966.684858
2017-08-23 09:00:00,4040.0,4114.01,4265.8,4013.89,1001.136565
2017-08-24 09:00:00,4147.0,4316.01,4371.68,4085.01,787.418753
2017-08-25 09:00:00,4316.01,4280.68,4453.91,4247.48,573.61274
2017-08-26 09:00:00,4280.71,4337.44,4367.0,4212.41,228.108068
2017-08-27 09:00:00,4332.51,4310.01,4400.0,4285.54,350.692585
2017-08-28 09:00:00,4310.01,4386.69,4399.82,4124.54,603.841616
2017-08-29 09:00:00,4353.65,4587.48,4625.85,4313.55,603.545028
2017-08-30 09:00:00,4564.52,4555.14,4647.51,4416.01,808.468771
2017-08-31 09:00:00,4555.14,4724.89,4745.42,4555.14,556.9568019999999
2017-09-01 09:00:00,4689.89,4834.91,4885.55,4654.88,560.666366
2017-09-02 09:00:00,4796.16,4472.14,4939.19,4286.87,929.1485949999999
2017-09-03 09:00:00,4508.5,4509.08,4714.76,4298.33,691.2161980000001
2017-09-04 09:00:00,4505.0,4100.11,4527.49,3972.51,1394.644614
2017-09-05 09:00:00,4106.97,4366.47,4484.99,3603.0,1228.938157
2017-09-06 09:00:00,4366.49,4619.77,4662.87,4335.26,807.3637259999999
2017-09-07 09:00:00,4619.77,4691.61,4788.59,4438.19,500.429975
2017-09-08 09:00:00,4691.66,4282.8,4735.39,4028.93,1132.255046
2017-09-09 09:00:00,4282.8,4258.81,4426.62,4150.06,658.7829519999999
2017-09-10 09:00:00,4258.81,4130.37,4283.0,3801.0,660.373275
2017-09-11 09:00:00,4153.62,4208.47,4334.43,4098.91,699.989065
2017-09-12 09:00:00,4208.6,4163.72,4394.59,4040.8,879.630319
2017-09-13 09:00:00,4159.72,3944.69,4165.38,3760.0,913.462545
2017-09-14 09:00:00,3944.0,3189.02,3993.0,3165.13,1665.021543
2017-09-15 09:00:00,3188.01,3700.0,3856.0,2817.0,1968.866492
2017-09-16 09:00:00,3674.01,3714.95,3950.0,3470.66,1297.5639529999999
2017-09-17 09:00:00,3685.23,3699.99,3748.21,3499.02,682.17121
2017-09-18 09:00:00,3690.0,4035.01,4123.2,3690.0,1030.0064550000002
2017-09-19 09:00:00,4060.0,3910.04,4089.97,3830.91,902.3321289999999
2017-09-20 09:00:00,3910.04,3900.0,4046.08,3820.0,720.935076
2017-09-21 09:00:00,3889.99,3609.99,3910.0,3567.0,1001.654084
2017-09-22 09:00:00,3592.84,3595.87,3750.0,3505.55,838.966425
2017-09-23 09:00:00,3595.88,3780.0,3817.19,3542.91,752.792791
2017-09-24 09:00:00,3779.54,3660.02,3789.99,3622.76,661.63639
2017-09-25 09:00:00,3660.02,3920.75,3979.87,3653.69,727.9947129999999
2017-09-26 09:00:00,3928.0,3882.35,3976.99,3850.05,526.727987
2017-09-27 09:00:00,3882.36,4193.0,4249.94,3872.81,628.170966
2017-09-28 09:00:00,4192.11,4174.5,4300.0,4101.0,849.785325
2017-09-29 09:00:00,4178.98,4174.69,4263.86,3952.01,1602.309565
2017-09-30 09:00:00,4175.0,4378.51,4380.0,4138.1,720.3531830000001
2017-10-01 09:00:00,4378.49,4378.48,4406.52,4240.04,726.9636849999999
2017-10-02 09:00:00,4400.0,4380.0,4561.63,4360.0,655.756974
2017-10-03 09:00:00,4380.0,4310.0,4467.33,4180.8,1082.3235630000001
2017-10-04 09:00:00,4314.9,4208.59,4373.0,4142.0,868.465101
2017-10-05 09:00:00,4208.59,4292.43,4355.0,4110.0,779.138638
