Datetime,Open,High,Low,Close,Volume
2018-07-09 09:30:00-04:00,1146.89,1151.8,1144.13,1145.45,244166
2018-07-09 10:30:00-04:00,1145.24,1148.97,1143.84,1147.48,105231
2018-07-09 11:30:00-04:00,1146.65,1149.4,1145.19,1146.67,69551
2018-07-09 12:30:00-04:00,1146.47,1148.33,1145.18,1148.33,57947
2018-07-09 13:30:00-04:00,1148.26,1149.32,1147.01,1148.6,51153
2018-07-09 14:30:00-04:00,1148.44,1150.43,1147.82,1149.04,81334
2018-07-09 15:30:00-04:00,1149.49,1154.51,1149.4,1154.38,144416
2018-07-10 09:30:00-04:00,1156.32,1158.1,1153.5,1155.54,174299
2018-07-10 10:30:00-04:00,1155.96,1159.11,1155.45,1155.45,94779
2018-07-10 11:30:00-04:00,1155.51,1159.1,1155.41,1159.08,61498
2018-07-10 12:30:00-04:00,1159.06,1159.51,1156.22,1156.71,56581
2018-07-10 13:30:00-04:00,1156.11,1156.33,1151.1,1155.77,70582
2018-07-10 14:30:00-04:00,1155.32,1157.21,1151.0,1153.87,95115
2018-07-10 15:30:00-04:00,1153.63,1155.4,1149.59,1152.83,129848
2018-07-11 09:30:00-04:00,1141.0,1164.04,1141.0,1163.59,286571
2018-07-11 10:30:00-04:00,1163.59,1163.96,1156.0,1157.97,143380
2018-07-11 11:30:00-04:00,1156.07,1161.07,1155.45,1158.1,119076
2018-07-11 12:30:00-04:00,1159.19,1162.3,1157.7,1161.2,69292
2018-07-11 13:30:00-04:00,1161.61,1162.5,1156.47,1159.3,75988
2018-07-11 14:30:00-04:00,1159.68,1160.54,1157.16,1157.88,67764
2018-07-11 15:30:00-04:00,1157.95,1160.55,1153.44,1153.7,187522
2018-07-12 09:30:00-04:00,1158.49,1171.84,1156.4,1171.84,266279
2018-07-12 10:30:00-04:00,1171.75,1176.74,1171.67,1176.7,191399
2018-07-12 11:30:00-04:00,1176.72,1181.15,1175.33,1180.9,143832
2018-07-12 12:30:00-04:00,1180.9,1181.5,1177.86,1179.29,112902
2018-07-12 13:30:00-04:00,1179.41,1180.58,1177.9,1180.54,98445
2018-07-12 14:30:00-04:00,1180.24,1182.12,1178.68,1180.84,122894
2018-07-12 15:30:00-04:00,1181.2,1184.36,1181.01,1183.72,197208
2018-07-13 09:30:00-04:00,1184.99,1192.5,1180.18,1192.5,331963
2018-07-13 10:30:00-04:00,1192.8,1195.0,1190.0,1192.5,121752
2018-07-13 11:30:00-04:00,1192.35,1194.08,1191.45,1192.34,147459
2018-07-13 12:30:00-04:00,1191.82,1192.78,1188.0,1189.13,93231
2018-07-13 13:30:00-04:00,1189.16,1189.24,1184.42,1185.19,83201
2018-07-13 14:30:00-04:00,1185.0,1188.56,1183.99,1188.38,102328
2018-07-13 15:30:00-04:00,1188.44,1190.55,1188.44,1188.94,177012
2018-07-16 09:30:00-04:00,1188.5,1190.83,1180.24,1189.82,269586
2018-07-16 10:30:00-04:00,1189.27,1190.63,1183.2,1186.67,138284
2018-07-16 11:30:00-04:00,1186.69,1189.09,1186.28,1188.15,75206
2018-07-16 12:30:00-04:00,1188.33,1188.59,1185.34,1186.85,55352
2018-07-16 13:30:00-04:00,1186.92,1187.63,1184.49,1184.74,113875
2018-07-16 14:30:00-04:00,1184.66,1185.16,1179.44,1181.83,146413
2018-07-16 15:30:00-04:00,1182.02,1185.24,1182.02,1183.28,126166
2018-07-17 09:30:00-04:00,1170.79,1185.3,1170.79,1179.95,281151
2018-07-17 10:30:00-04:00,1180.37,1188.5,1180.37,1187.03,160537
2018-07-17 11:30:00-04:00,1187.23,1201.0,1186.04,1199.99,226028
2018-07-17 12:30:00-04:00,1200.62,1202.08,1197.19,1200.57,203091
2018-07-17 13:30:00-04:00,1200.64,1203.02,1198.31,1200.49,125696
2018-07-17 14:30:00-04:00,1200.28,1201.14,1194.77,1199.31,140533
2018-07-17 15:30:00-04:00,1198.81,1201.45,1196.27,1198.65,203104
2018-07-18 09:30:00-04:00,1196.22,1204.09,1190.45,1194.29,489133
2018-07-18 10:30:00-04:00,1194.46,1198.27,1191.72,1196.02,120476
2018-07-18 11:30:00-04:00,1196.34,1200.06,1195.55,1197.5,92958
2018-07-18 12:30:00-04:00,1197.79,1203.0,1197.79,1202.17,101048
2018-07-18 13:30:00-04:00,1202.33,1204.15,1198.82,1200.76,121009
2018-07-18 14:30:00-04:00,1200.47,1200.47,1196.69,1199.29,125342
2018-07-18 15:30:00-04:00,1199.45,1201.19,1195.74,1195.84,206269
2018-07-19 09:30:00-04:00,1191.76,1200.0,1188.95,1191.33,321237
2018-07-19 10:30:00-04:00,1190.56,1193.09,1189.11,1191.92,125124
2018-07-19 11:30:00-04:00,1192.19,1192.95,1185.82,1186.8,127330
2018-07-19 12:30:00-04:00,1187.36,1188.36,1183.52,1187.26,101792
2018-07-19 13:30:00-04:00,1186.97,1190.77,1186.85,1188.97,90893
2018-07-19 14:30:00-04:00,1188.79,1188.79,1184.24,1188.01,107817
2018-07-19 15:30:00-04:00,1188.1,1190.14,1185.52,1186.96,165219
2018-07-20 09:30:00-04:00,1188.96,1191.64,1185.68,1189.18,272633
